time,.name,.pose,.twist
1970/01/01/09:00:08.690000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00302672517395
  y: -0.00852364216216
  z: 0.381580685153
orientation: 
  x: -0.00259884390769
  y: 0.000403223183447
  z: 0.0459239215793
  w: 0.99894147819]",[]
1970/01/01/09:00:08.690000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00302672517395
  y: -0.00852364216216
  z: 0.381580685153
orientation: 
  x: -0.00259884390769
  y: 0.000403223183447
  z: 0.0459239215793
  w: 0.99894147819]",[]
1970/01/01/09:00:08.710000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00302672517395
  y: -0.00852364216216
  z: 0.381580685153
orientation: 
  x: -0.00259884390769
  y: 0.000403223183447
  z: 0.0459239215793
  w: 0.99894147819]",[]
1970/01/01/09:00:08.710000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00302672517395
  y: -0.00852364216216
  z: 0.381580685153
orientation: 
  x: -0.00259884390769
  y: 0.000403223183447
  z: 0.0459239215793
  w: 0.99894147819]",[]
1970/01/01/09:00:08.720000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00302672517395
  y: -0.00852364216216
  z: 0.381580685153
orientation: 
  x: -0.00259884390769
  y: 0.000403223183447
  z: 0.0459239215793
  w: 0.99894147819]",[]
1970/01/01/09:00:08.740000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00302672517395
  y: -0.00852364216216
  z: 0.381580685153
orientation: 
  x: -0.00259884390769
  y: 0.000403223183447
  z: 0.0459239215793
  w: 0.99894147819]",[]
1970/01/01/09:00:08.750000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00308315995163
  y: -0.010168405788
  z: 0.381488364976
orientation: 
  x: -0.000857099336353
  y: 0.000453160312542
  z: 0.0446620189325
  w: 0.999001683728]",[]
1970/01/01/09:00:08.760000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00308315995163
  y: -0.010168405788
  z: 0.381488364976
orientation: 
  x: -0.000857099336353
  y: 0.000453160312542
  z: 0.0446620189325
  w: 0.999001683728]",[]
1970/01/01/09:00:08.770000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00308315995163
  y: -0.010168405788
  z: 0.381488364976
orientation: 
  x: -0.000857099336353
  y: 0.000453160312542
  z: 0.0446620189325
  w: 0.999001683728]",[]
1970/01/01/09:00:08.780000,"['Floor', 'KHR-3HV']","[position: 
  x: 0.0
  y: 0.0
  z: -0.1
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 1.0, position: 
  x: 0.00308315995163
  y: -0.010168405788
  z: 0.381488364976
orientation: 
  x: -0.000857099336353
  y: 0.000453160312542
  z: 0.0446620189325
  w: 0.999001683728]",[]
